NAME,ALC_PERCENTAGE,PRICE,LINK
Powers John's Lane 12 Year OldSingle Pot Still,70cl / 46%,GBP 57.95,https://www.thewhiskyexchange.com//p/15234/powers-johns-lane-12-year-old-single-pot-still
Bushmills Original,70cl / 40%,GBP 24.45,https://www.thewhiskyexchange.com//p/2824/bushmills-original
The Legendary Red Silkie Irish Whiskey,70cl / 46%,GBP 45.45,https://www.thewhiskyexchange.com//p/71071/the-legendary-red-silkie-irish-whiskey
Powers Irish Rye,70cl / 43.2%,GBP 32.95,https://www.thewhiskyexchange.com//p/70544/powers-irish-rye
Dingle Whiskey Batch 6,70cl / 46.5%,GBP 73.95,https://www.thewhiskyexchange.com//p/67775/dingle-whiskey-batch-6
Teeling Pineapple Rum Cask2022 Release,70cl / 49.2%,GBP 42.95,https://www.thewhiskyexchange.com//p/67377/teeling-pineapple-rum-cask-2022-release
Bushmills Rum Cask ReserveThe Steamship Collection,70cl / 40%,GBP 86.95,https://www.thewhiskyexchange.com//p/67306/bushmills-rum-cask-reserve-the-steamship-collection
Gelston's Single Pot Still,70cl / 40%,GBP 27.45,https://www.thewhiskyexchange.com//p/62632/gelstons-single-pot-still
Teeling 199129 Year Old Rum Cask Exclusive to The Whisky Exchange,70cl / 52.4%,GBP 595,https://www.thewhiskyexchange.com//p/61582/teeling-1991-29-year-old-rum-cask-exclusive-to-the-whisky-exchange
West Cork Bog Oak Charred Cask,70cl / 43%,GBP 36.75,https://www.thewhiskyexchange.com//p/60563/west-cork-bog-oak-charred-cask
Gelston's Single Malt,70cl / 40%,GBP 27.25,https://www.thewhiskyexchange.com//p/51297/gelstons-single-malt
Slane Irish Whiskey,70cl / 40%,GBP 24.95,https://www.thewhiskyexchange.com//p/39010/slane-irish-whiskey
Writers Tears Copper Pot,70cl / 40%,GBP 38.95,https://www.thewhiskyexchange.com//p/23875/writers-tears-copper-pot
Bushmills 16 Year Old Single MaltPort Finish,70cl / 40%,GBP 89.95,https://www.thewhiskyexchange.com//p/2839/bushmills-16-year-old-single-malt-port-finish
The Legendary Midnight Silkie Irish Whiskey,70cl / 46%,GBP 37.95,https://www.thewhiskyexchange.com//p/71070/the-legendary-midnight-silkie-irish-whiskey
Green Spot Quails' Gate Pinot Noir Finish,70cl / 46%,GBP 65.75,https://www.thewhiskyexchange.com//p/70738/green-spot-quails-gate-pinot-noir-finish
Jameson United Limited EditionBlue Label,70cl / 40%,GBP 23.95,https://www.thewhiskyexchange.com//p/70055/jameson-united-limited-edition-blue-label
Jameson United Limited EditionGreen Label,70cl / 40%,GBP 23.95,https://www.thewhiskyexchange.com//p/70054/jameson-united-limited-edition-green-label
Jameson 18 Year Old,70cl / 46%,GBP 180,https://www.thewhiskyexchange.com//p/67949/jameson-18-year-old
Waterford Ballybannon 1.1Peated,70cl / 50%,GBP 77.95,https://www.thewhiskyexchange.com//p/67852/waterford-ballybannon-11-peated
